District,Name,Phone,WhatsApp,Address,Place,Category,Subcategory,Latitude,Longitude,JustDial URL
Alappuzha,B For Bike,+(91)-7947188213,,Court Road Court Road,Court Road,Second Hand Car Dealers,,9.499967958297,76.33382491176,https://www.justdial.com/Alappuzha/B-For-Bike/0477PX477.X477.140627142137.J6B1
Alappuzha,Car Galaxy,+(91)-8128374486,,Nedumbrakkad Cherthala,Cherthala,Second Hand Car Dealers,,9.7013133,76.3474067,https://www.justdial.com/Alappuzha/Car-Galaxy/0477PX477.X477.221017200146.R5X5
Alappuzha,Car Glance,+(91)-8147189152,,Sn Puram Cherthala Cherthala,Cherthala,Second Hand Car Dealers,,9.6871833,76.33051085,https://www.justdial.com/Alappuzha/Car-Glance/0477PX477.X477.210311181824.X3E3
Alappuzha,Gulf Motors,+(91)-9605819346,,Ashramam Road Kommady Ward,Kommady Ward,Second Hand Car Dealers,,9.5178267,76.3312076,https://www.justdial.com/Alappuzha/Gulf-Motors/0477PX477.X477.170225115645.H9F7
Alappuzha,Incheon Kia,+(91)-8111879111,,Nh66 Cheppadu,Cheppadu,Car Dealers,Car Dealers,9.2425625,76.4689375,https://www.justdial.com/Alappuzha/Incheon-Kia/0477PX477.X477.220608235513.C5L7
Alappuzha,Indus Motors,+(91)-9745998005,,Kottukulangara Kareelakulangara,Kareelakulangara,Car Dealers,,9.1953887,76.4862597,https://www.justdial.com/Alappuzha/Indus-Motors/0477PX477.X477.181113161703.E5P2
Alappuzha,Indus Motors Alappuzha (Maruthi Suzuki Arena),+(91)-8460458809,,Kanjikuzhi Kanichukulangara,Kanichukulangara,Car Dealers,Car Dealers,9.839783,76.294119,https://www.justdial.com/Alappuzha/Indus-Motors-Alappuzha-(Maruthi-Suzuki-Arena)/0477PX477.X477.230721145550.H8T5
Alappuzha,Maruti True Value Cherthala,+(91)-9747535399,,Ward 1 Mararikulam,Mararikulam,Second Hand Car Dealers,,9.4584907,76.3347838,https://www.justdial.com/Alappuzha/Maruti-True-Value-Cherthala/0477PX477.X477.171130121723.N6T6
Alappuzha,Nexa Cherthala,+(91)-8050876194,,Ac Road Cherthala,Cherthala,Car Dealers,Car Dealers,9.678059799722,76.340829099722,https://www.justdial.com/Alappuzha/Nexa-Cherthala/0477PX477.X477.200909211025.W5F9
Alappuzha,Playstore Gifts and Toys,+(91)-9947909599,,Thirivizha Cherthala,Cherthala,Toy Car Dealers,Toy Car Dealers,9.689032,76.326088,https://www.justdial.com/Alappuzha/Playstore-Gifts-and-Toys/0477PX477.X477.191119192357.S2F5
Alappuzha,Quality Cars,+(91)-8971759129,,Cherthala,Cherthala,Second Hand Car Dealers,,9.68258475,76.343345638889,https://www.justdial.com/Alappuzha/Quality-Cars/0477PX477.X477.241116122037.F7P7
Alappuzha,Renault Alappuzha,+(91)-8111889727,,NH Punnapra North,Punnapra North,Car Dealers,Car Dealers,9.4486913,76.3422989,https://www.justdial.com/Alappuzha/Renault-Alappuzha/0477PX477.X477.220205215522.S9L7
Alappuzha,S S Hyundai (Service Centre),+(91)-9539012100,,Mavelikara,Mavelikara,Car Dealers,Car Dealers,9.2556111,76.5398595,https://www.justdial.com/Alappuzha/S-S-Hyundai-(Service-Centre)/0477PX481.X481.110327141233.G2I3DC
Alappuzha,Sai Services Pvt Ltd,+(91)-9288024220,,M C Road Chengannur,Chengannur,Car Dealers,Car Dealers,9.323106,76.609564,https://www.justdial.com/Alappuzha/Sai-Services-Pvt-Ltd/0477PX477.X477.220321232859.Q1S1
Alappuzha,Shah Motors Multi Branded Used Car Showroom,+(91)-9061994777,,National Highway Road Kayamkulam,Kayamkulam,Second Hand Car Dealers,,9.1644512,76.5026475,https://www.justdial.com/Alappuzha/Shah-Motors-Multi-Branded-Used-Car-Showroom/0477PX477.X477.210226175713.R8Z6
Alappuzha,Sleeba & Sons Motor,+(91)-9633235555,,Cherthala Mayithara Market,Mayithara Market,Car Dealers,Car Dealers,9.655495,76.337141,https://www.justdial.com/Alappuzha/Sleeba-&-Sons-Motor/0477PX477.X477.251224191232.T6P5
All,Aher Autoprime LLP,+(91)-9702919919,,Kalyan Murbad Road Kalyan West,Kalyan West,Car Dealers-Maruti Suzuki,Car Dealers-Maruti Suzuki,19.24147,73.147637,https://www.justdial.com/All/Aher-Autoprime-LLP/022PXX22.XX22.170919084026.A3E6
All,Fortpoint Automotive Car Pvt Ltd,+(91)-9036667136,,Dr.Anandrao Nair Marg Lal Baug,Lal Baug,Car Dealers-Maruti Suzuki (Authorised),Car Dealers-Maruti Suzuki (Authorised),18.9855139,72.8361689,https://www.justdial.com/All/Fortpoint-Automotive-Car-Pvt-Ltd/022PD001262
