Name,Phone,Category,Subcategory,District,Address,Latitude,Longitude,Google Maps URL
"Government District Hospital, Chemmattamvayal",,Hospital,Hospital,Kasaragod,"thoyammal, Karattuvayal, Kanhangad, Kerala 671531، الهند",12.314688,75.1050962,"https://www.google.com/maps/place/Government+District+Hospital,+Chemmattamvayal/data=!4m7!3m6!1s0x3ba47c624aaed60f:0x789379577f69757!8m2!3d12.314688!4d75.1050962!16s%2Fg%2F1tkd_d66!19sChIJD9auSmJ8pDsRV5f2d5U3iQc?authuser=0&hl=ar&rclk=1"
The Lifeline Multi Speciality Hospital (Kerala),+914734219500,Hospital,Hospital,Kasaragod,"No.46, 14th Mile State Highway, 5 Melood, Adoor, Peringanad, Kerala 691554، الهند",9.1635772,76.7065882,https://www.google.com/maps/place/The+Lifeline+Multi+Speciality+Hospital+%28Kerala%29/data=!4m7!3m6!1s0x3b0611a0a3abd27b:0x3ecabe4980083f51!8m2!3d9.1635772!4d76.7065882!16s%2Fg%2F1tlczlzp!19sChIJe9Kro6ARBjsRUT8IgEm-yj4?authuser=0&hl=ar&rclk=1
District Hospital Kannur,+914972731234,Hospital,Hospital,Kasaragod,"District Hospital Post, Ayikkara Government Hospital Rd, Burnacherry, Kannur, Kerala 670017، الهند",11.8614086,75.3711262,https://www.google.com/maps/place/District+Hospital+Kannur/data=!4m7!3m6!1s0x3ba422cecd9c09a7:0x40b2cce8b77e69b5!8m2!3d11.8614086!4d75.3711262!16s%2Fg%2F1vg4h73k!19sChIJpwmczc4ipDsRtWl-t-jMskA?authuser=0&hl=ar&rclk=1
Unknown Name,+914994256878,Hospital,Hospital,Kasaragod,,12.5169517,75.0119706,https://www.google.com/maps/place/Chaitra+Medical+Centre/data=!4m7!3m6!1s0x3ba482557a408269:0xd298ddc2f19c8fe1!8m2!3d12.5169517!4d75.0119706!16s%2Fg%2F1tdxcqch!19sChIJaYJAelWCpDsR4Y-c8cLdmNI?authuser=0&hl=ar&rclk=1
Govt Health Center (Clinic),,Hospital,Hospital,Kasaragod,"QX32+4PW, Majarpalla, Kerala 671323، الهند",12.7528537,74.9518294,https://www.google.com/maps/place/Govt+Health+Center+%28Clinic%29/data=!4m7!3m6!1s0x3ba35fee9442e89d:0x30d15c37089557f4!8m2!3d12.7528537!4d74.9518294!16s%2Fg%2F11c2ksl8t2!19sChIJnehClO5fozsR9FeVCDdc0TA?authuser=0&hl=ar&rclk=1
UNITED MEDICAL CENTRE,8401311859,Clinics,Hospital,Kasaragod,"Kottakani Road Kasaragod City, kasaragod",12.509534000000,74.994591972222,https://www.google.com/maps/place/UNITED+MEDICAL+CENTRE/data=!4m7!3m6!1s0x3ba4825c39e696dd:0xed77e25dd11c6c81!8m2!3d12.509714!4d74.994703!16s%2Fg%2F1263f9ct7!19sChIJ3ZbmOVyCpDsRgWwc0V3id-0?authuser=0&hl=ar&rclk=1
P. R. Ramavarmaraja Memorial Co-operative Hospital,+914602255650,Hospitals,Hospitals,Kasaragod,"Alakode-Kappimala Rd, Alakode, Kerala 670571، الهند",12.1930281,75.4686284,https://www.google.com/maps/place/P.+R.+Ramavarmaraja+Memorial+Co-operative+Hospital/data=!4m7!3m6!1s0x3ba444f09095c253:0x213ea96e0a4d21f4!8m2!3d12.1930281!4d75.4686284!16s%2Fg%2F11bzs2_n2m!19sChIJU8KVkPBEpDsR9CFNCm6pPiE?authuser=0&hl=ar&rclk=1
ESI DISPENSARY kasaragod,,Hospitals,Hospitals,Kasaragod,"FXRQ+P93, opp. Railway Station, Theruvath, Kasaragod, Kerala 671121، الهند",12.4917518,74.9884272,https://www.google.com/maps/place/ESI+DISPENSARY+kasaragod/data=!4m7!3m6!1s0x3ba483b85caa5bed:0x1ea16979a6d32723!8m2!3d12.4917518!4d74.9884272!16s%2Fg%2F11h8ff_tqc!19sChIJ7VuqXLiDpDsRIyfTpnlpoR4?authuser=0&hl=ar&rclk=1
Akshara Medical Centre,+919496693471,Hospitals,Hospitals,Kasaragod,"complex, Sheni, Kerala 671552، الهند",12.6496028,75.0571058,https://www.google.com/maps/place/Akshara+Medical+Centre/data=!4m7!3m6!1s0x3ba49d51929863eb:0xc316ea291444b36!8m2!3d12.6496028!4d75.0571058!16s%2Fg%2F11mzt8r4n8!19sChIJ62OYklGdpDsRNktEkaJuMQw?authuser=0&hl=ar&rclk=1
Family Health Centre Perla,+914998225790,Hospitals,Hospitals,Kasaragod,"J4W4+JCP, Perla, Kerala 671552، الهند",12.6465776,75.1060799,https://www.google.com/maps/place/Family+Health+Centre+Perla/data=!4m7!3m6!1s0x3ba49bd2b1802be5:0x83fcf10a83306ffb!8m2!3d12.6465776!4d75.1060799!16s%2Fg%2F1tl1g9jv!19sChIJ5SuAsdKbpDsR-28wgwrx_IM?authuser=0&hl=ar&rclk=1
