District_Code,District_Name,Category,Hospital_Name,Address,Phone,Taluk,Latitude,Longitude
TVM,Thiruvananthapuram,District Hospital,DH Peroorkada,"District Model Hospital Peroorkada,Peroorkada P O,Trivandrum Pin695005",0471-2992014,Nedumangad,8.5353544,76.9673732
TVM,Thiruvananthapuram,District Hospital,DH Nedumangad,"District Hospital, Nedumangad P.O, Pin - 695541",0472-2802262,Nedumangad,8.6037740,77.0008022
KLM,Kollam,District Hospital,DH Kollam (AA Rahim Memorial),"AA Rahim Memorial District Hospital, Hospital Road, Kollam 691001",0474-2742004,Kollam,8.8880171,76.5846879
PTA,Pathanamthitta,District Hospital,DH Kozhencherry,"District Hospital ,Kozhencherry, Pathanamthitta- 689641",9495717312,Kozhenchery,9.3356364,76.7063591
ALP,Alappuzha,District Hospital,DH Mavelikara,"District Hospital Mavelikara, Thazhakara PO -690102",0479-2303394,Mavelikkara,9.2559616,76.5516494
ALP,Alappuzha,District Hospital,DH Chengannur,District Hospital Chengannur-689121,0479-2999167,Chengannur,9.3285603,76.6165824
IDK,Idukki,District Hospital,DH Idukki,"DH IDUKKI, IDUKKI COLONY PO,685602",0486-2299574,Idukki,9.8537728,76.9389028
IDK,Idukki,District Hospital,DH Thodupuzha,Thodupuzha East.P.O.PIN-685584,0486-222630,Thodupuzha,9.9001388,76.7266153
EKM,Ernakulam,District Hospital,DH Aluva,"Aluva PO, Aluva, PIN 683101",0484-2624040,Aluva,10.1052066,76.3555833
TSR,Thrissur,District Hospital,DH Wadakkanchery,"Oottupara,Engakkad P O,Wadakkanchery,Thrissur.Pin 680590",04884-235214,Wadakkanchery,10.6655614,76.2525185
PKD,Palakkad,District Hospital,DH Palakkad,"District Hospital, Court Road Palakkad-678001",0491-2533327,Palakkad,10.7680087,76.6583995
MLP,Malappuram,District Hospital,DH Tirur,"DH TIRUR,THRIKKANDIYOOR PO, MALAPPURAM, PIN 676104",0494-2423834,Tirur,10.9118666,75.9226716
MLP,Malappuram,District Hospital,DH Perinthalmanna,"DH PERINTHALMANNA,PERINTHALMANNA PO, PIN 679322",04933-228279,Perinthalmanna,10.9745721,76.2322311
MLP,Malappuram,District Hospital,DH Nilambur,"DH NILAMBUR, NILAMBUR PO, PIN 679329",04931-220351,Nilambur,11.2764809,76.2223146
KKD,Kozhikode,District Hospital,DH Vatakara,"HHXW+CJ4, Nut Street, Vatakara, Kerala 673101",0496-2524259,Vadakara,11.5993300,75.5965900
WYD,Wayanad,District Hospital,DH Mananthavady,"District Hospital Mananthavady, Mananthavady (PO) 670645",04935-240264,Mananthavady,11.8004688,76.0020462
KNR,Kannur,District Hospital,DH Kannur,"DH Kannur HQ, Kannur, 670017",04972-731234,Kannur,11.8606711,75.3720299
KSD,Kasaragod,District Hospital,DH Kanhangad,"District Hospital Kanhangad, Bella (PO), Chammattomvayal, PIN 671531",4672-2217018,Hosdurg,12.3147000,75.1051000
TVM,Thiruvananthapuram,General Hospital,GH Thiruvananthapuram,"General Hospital,Vanchiyoor.P.O.,Tvm 695035",0471-2516000,Thiruvananthapuram,8.4998918,76.9433242
