school_code,section,email,phone
24294,HS,insightgvr@gmail.com,4872999488.0
29029,HS,29029sghs@gmail.com,4862224905.0
17055,HS,cmcboyshs@gmail.com,4952462038.0
30025,HS,cpmghsspeermade@gmail.com,4869232607.0
29070,HS,ghsmuniyara@gmail.com,4868269129.0
23058,HS,stantonyshsspudukkad@yahoo.com,4802752672.0
13052,HS,naduvilhighschool@gmail.com,4602250330.0
25073,HS,ghssvazhakulam2017@gmail.com,4842678258.0
22065,HS,ghssanchery@gmail.com,2251299.0
23046,HS,stantonyshssmala@yahoo.com,4802894632.0
46042,HS,atgvhssmoncompu@gmail.com,4772703730.0
37035,HS,cmshspnly@gmail.com,4692685372.0
23061,HS,rhsthumbur@yahoo.com,4802786427.0
31064,HS,govthssedakkoly@gmail.com,4822263671.0
26027,HS,santacruzhss@gmail.com,4842493714.0
25096,HS,kmeahss@yahoo.com,2411374.0
23053,HS,skhsanandapuram@yahoo.com,4802881175.0
17056,HS,cmcgirlshs@gmail.com,4952462840.0
21080,HS,dbhsthachampara@gmail.com,9207243315.0
21110,HS,mestpublichsskarimpara@gmail.com,4923245233.0
13116,HS,rhsmuttom@gmail.com,4972877518.0
22050,HS,hmstthomastsr@gmail.com,4872420585.0
17007,HS,gvhsskinassery@gmail.com,4952964138.0
45014,HS,vmbs45014@gmail.com,4829236240.0
25013,HS,alwaye_settlement@yahoo.co.in,4842964429.0
24064,HS,gfvhsskpm@gmail.com,4802844046.0
47084,HS,sahskannoth@gmail.com,8078261048.0
22012,HS,pjmsghssksu@yahoo.com,4872633744.0
32074,HS,mycaschool@yahoo.com,8590834776.0
24398,HS,snehalayamschool@gmail.com,4885224578.0
47118,HS,ghsvengappatta@gmail.com,4962610964.0
24031,HS,hmghstvmala@gmail.com,4884282065.0
45052,HS,depaulhssn@gmail.com,4822230371.0
21038,HS,ghsperumatty@gmail.com,9946655373.0
28009,HS,vadakaralfhs@gmail.com,9496542340.0
14062,HS,hmknhss@gmail.com,4902394299.0
29014,HS,29014smhs@gmail.com,4862204281.0
36044,HS,tmvmhsvettiyar71@gmail.com,4792356840.0
24021,HS,stthomasschoolmayannur@gmail.com,4884286060.0
16060,HS,vadakara16060@gmail.com,4962591513.0
28022,HS,sphsm28022@gmail.com,4852258357.0
36024,HS,mattomstjohns@gmail.com,4792302859.0
47108,HS,nellipoilsjhs@gmail.com,9847237880.0
17010,HS,gvhssgirlsnadakkavu@gmail.com,4952768506.0
36013,HS,36013alappuzha@gmail.com,4792378017.0
24061,HS,24061vpmsndphss@gmail.com,4802837998.0
29501,HS,gthsadimali@gmail.com,4864222931.0
47080,HS,ghsrec19@gmail.com,4952287155.0
21018,HS,ghst.vilayannur@gmail.com,4922284368.0
13012,HS,hmghsspallikunnu@gmail.com,4972746430.0
11063,HS,11063hydrosekalanad@gmail.com,4672265092.0
34031,HS,34031.alappuzha@gmail.com,4782592003.0
12039,HS,12039cheruvathurgvhss@gmail.com,4672261470.0
11002,HS,11002ghsskgd@gmail.com,4994221626.0
13783,HS,ghsrayarome@gmail.com,4602284580.0
13076,HS,gvhsspariyaram@gmail.com,4972808760.0
46024,HS,smhsschampakulam@gmail.com,4772736239.0
36025,HS,36025alappuzha@gmail.com,4792302014.0
31038,HS,nsskidangoor_k@rediffmail.com,4822254180.0
13017,HS,azhikodehs008@gmail.com,4972771049.0
13082,HS,ghsmalappattam@gmail.com,4602999866.0
46040,HS,n.s.seara@gmail.com,4772710208.0
34016,HS,34016alappuzha@gmail.com,4782862294.0
32005,HS,lfhschemmalamattam@gmail.com,4828235497.0
31048,HS,emrhs@mangalam.in,4812537945.0
16039,HS,vadakara16039@gmail.com,4962440048.0
12005,HS,12005lfghsskanhangad@gmail.com,4672204411.0
38082,HS,ghskokkathodu@gmail.com,4682365180.0
32046,HS,kply32046@yahoo.co.in,4812488033.0
23075,HS,aloorsnvhss@yahoo.com,4802720340.0
28030,HS,28030gvhssmarady@gmail.com,4852832948.0
23060,HS,stmaryshschengaloor@yahoo.com,4802750993.0
14034,HS,santhomehs@gmail.com,4902445010.0
12023,HS,12023.balanthode@gmail.com,9778485224.0
12010,HS,12010periya@gmail.com,4672233700.0
27038,HS,gvhsskadavoor27038@gmail.com,4852566626.0
17086,HS,cmmhsthalakkulathur@gmail.com,4952080836.0
37001,HS,ammhssedl@gmail.com,4682319276.0
20019,HS,hmghssvadanam@gmail.com,4662233060.0
28035,HS,28035imhskaoor@gmail.com,4862267576.0
30454,HS,st.josephvpr@gmail.com,4869253696.0
17048,HS,jdtvhss@gmail.com,4952730421.0
35046,HS,35046alappuzha@gmail.com,4792410750.0
32034,HS,kply32034@yahoo.co.in,4828230237.0
47064,HS,koduvallyghs@gmail.com,4952210593.0
13575,HS,schoolmeca@gmail.com,4972870960.0
11096,HS,saadiyaups@gmail.com,4994239971.0
17002,HS,gghskallai@gmail.com,4952323962.0
32002,HS,kply32002@yahoo.co.in,4822279613.0
31080,HS,stjvilakkumadom@gmail.com,4822225296.0
13074,HS,shhspayyavoor@gmail.com,4602210166.0
34044,HS,34044alappuzha@gmail.com,4772292209.0
30029,HS,sshsscheenthalar@gmail.com,9447735280.0
29503,HS,thspurapuzha@gmail.com,4862242797.0
35010,HS,35010alappuzha@gmail.com,4777961624.0
13027,HS,ghsschuzhali@gmail.com,4602260060.0
21042,HS,principalvijayamatha@gmail.com,4923222465.0
33062,HS,pemthiruvanchoor@gmail.com,9400274387.0
30050,HS,sxhsschemmannar@gmail.com,4868238224.0
24025,HS,stjoseph.stcyrils@yahoo.com,4885275550.0
46060,HS,ghskuppappuram@gmail.com,4772252845.0
12046,HS,12046chittarikkal@gmail.com,4672221730.0
11061,HS,11061dhakeerath@gmail.com,4994222329.0
33009,HS,sbschoolchy@gmail.com,4812420269.0
26045,HS,govthssmlty@gmail.com,4842740353.0
32023,HS,tvhsmuttappally@yahoo.in,4828254530.0
21032,HS,ghsmuthalamada@gmail.com,4923275345.0
29019,HS,29019nsshs@gmail.com,4862202226.0
16051,HS,vadakara16051@gmail.com,9497209134.0
31073,HS,cmshssmelukavu2016@gmail.com,4822220440.0
38024,HS,ghssmancode@gmail.com,4752379100.0
36063,HS,ghssangadicalsouth@gmail.com,4792469689.0
11031,HS,11031pandi@gmail.com,4994270510.0
14030,HS,ramavilasam@gmail.com,4902338986.0
21122,HS,ashramamhs@gmail.com,4912815894.0
47075,HS,chembanodasjhs@gmail.com,9745578619.0
27016,HS,salemvengola27016@yahoo.co.in,4842524812.0
20012,HS,parudurhs@gmail.com,4662238430.0
14009,HS,ghs.chirakkara@gmail.com,4903594787.0
23080,HS,olfghsmathilakam@yahoo.com,4802843023.0
25075,HS,fmcthskarumalloor@gmail.com,4842671640.0
38088,HS,tmghssperinganadu@gmail.com,4743230921.0
27054,HS,ghsmamalakkandam@gmail.com,6282080885.0
26072,HS,gghss.tpra@gmail.com,4842777790.0
35001,HS,35001alappuzha@gmail.com,4772264674.0
28051,HS,28051infantjesus@gmail.com,4852251360.0
37057,HS,nsshskunnam@gmail.com,4692795890.0
27026,HS,keerampara27026@yahoo.in,4852570136.0
47026,HS,velamcodestgeorgehs@gmail.com,4952237132.0
24068,HS,knmvhssvatanappally@gmail.com,9072347077.0
14050,HS,hmsivapuramhs@gmail.com,4902400313.0
13057,HS,school13057@gmail.com,4972851676.0
25499,HS,st.clareschoolmkm@gmail.com,2460752.0
38099,HS,stpaulsnariyapuram99@gmail.com,4682356379.0
13078,HS,kannadiparambaghss@gmail.com,4972796080.0
32052,HS,kply32052@yahoo.co.in,4828228453.0
11034,HS,11034padre@gmail.com,4998266222.0
25126,HS,nochimahs2014@gmail.com,4842837022.0
30038,HS,govthsanakkara@gmail.com,4868282263.0
47071,HS,hfhskattippara@gmail.com,4952270581.0
26010,HS,hssjesuskothad@gmail.com,4842431590.0
37034,HS,ksghsskadapra08@gmail.com,4692611602.0
33079,HS,mgemhsschool@gmail.com,8281359580.0
31501,HS,thspala@gmail.com,4822205285.0
25062,HS,crhskuttipuzha27@gmail.com,9544408107.0
13097,HS,ghssvellur@gmail.com,4985266625.0
26074,HS,sndphsudp@gmail.com,4842792036.0
26055,HS,stjosephchullickal@gmail.com,4842222099.0
36067,HS,vhssk36067@gmail.com,4792426356.0
28011,HS,28011nssmannoor@gmail.com,4842652125.0
17015,HS,ghskaraparamba@gmail.com,4952382377.0
13025,HS,vidyaniketant@gmail.com,4602203237.0
36018,HS,sndpsktv@gmail.com,4792336321.0
13117,HS,sirsyedhighschool@gmail.com,4602937019.0
11073,HS,11073munnad@gmail.com,4994206565.0
23003,HS,bvmhskallettumkara@yahoo.com,4802720309.0
23011,HS,stjosephshsmeloor@yahoo.com,4802739295.0
25121,HS,gvtupschool@gmail.com,4842597219.0
21056,HS,kannadihighschool@gmail.com,4912539598.0
26089,HS,hihsschool@gmail.com,4842505170.0
33051,HS,govthsskumarakam@gmail.com,4812524228.0
30008,HS,gvhssdevikulam@gmail.com,4865264351.0
51045,HS,gupsnechully@gmail.com,4924231071.0
11006,HS,11006ggvhss@gmail.com,4994230368.0
24015,HS,bcghshm@gmail.com,4885224806.0
24091,HS,mrsvadakkanchery@gmail.com,4884235356.0
20043,HS,ghscherpulassery@gmail.com,4662282667.0
21043,HS,chitturpshs@gmail.com,4923222126.0
16079,HS,vadakara16079@gmail.com,4962085230.0
28005,HS,hmhss28005@gmail.com,9746634091.0
25112,HS,stannseloor@yahoo.co.in,9747517172.0
23055,HS,stgeorgeshspariyaram@yahoo.com,4802746334.0
20058,HS,iesehss@gmail.com,4662272935.0
12051,HS,12051vellarikundu@gmail.com,4672242421.0
38019,HS,gvhsskaipattoor@gmail.com,4682350548.0
37027,HS,cmshsmdply@gmail.com,4692692212.0
22053,HS,hfcghstcr@gmail.com,4872333389.0
26026,HS,stmaryshsvallarpadam@gmail.com,4842750406.0
37004,HS,govthsthottakkonam@gmail.com,4734251091.0
12070,HS,12070bare@gmail.com,8943085631.0
35007,HS,35007alappuzha@gmail.com,9633559445.0
47119,HS,rarothgmhs@gmail.com,4952224822.0
37029,HS,gvhsskvpr@gmail.com,4692680472.0
31058,HS,ollhsuzhavoor@gmail.com,4822240108.0
26082,HS,darululoompullepady@gmail.com,4842353817.0
29050,HS,29050ghsmuttom@gmail.com,4862255399.0
14003,HS,gghsstly01@gmail.com,4902321962.0
21048,HS,ghskozhippara@gmail.com,4923235450.0
35020,HS,35020alappuzha@gmail.com,4772273011.0
46072,HS,cmsthalavady@gmail.com,4772211630.0
33017,HS,chengalamstantonys@gmail.com,4812705557.0
30026,HS,mariagiriemhss@yahoo.com,4869232069.0
38095,HS,nssmannamnagar@yahoo.in,4734259578.0
36055,HS,vsshsknma@gmail.com,9447480898.0
25057,HS,muppathadamgovt.h.s@gmail.com,4842559635.0
27050,HS,hihschool@gmail.com,8301040089.0
35003,HS,35003alappuzha@gmail.com,4772254194.0
35048,HS,35048alappuzha@gmail.com,4792411471.0
28050,HS,28050gaemhss@gmail.com,8281602611.0
13105,HS,avsghss.kvr@gmail.com,4985260010.0
38028,HS,kattoornsshs@gmail.com,9497100570.0
29502,HS,thsvannappuram@gmail.com,4862245421.0
13118,HS,hemhsppns@gmail.com,4972985045.0
14044,HS,ghspattiam2014@gmail.com,4902364338.0
30058,HS,sjhschinnar@gmail.com,4869242782.0
33018,HS,stthomashscgv@gmail.com,9446892477.0
30016,HS,mmhsnariampara@yahoo.com,4868274881.0
14024,HS,schskolayad@gmail.com,4902302410.0
16048,HS,vadakara16048@gmail.com,4962211031.0
26110,HS,sreevenkateswara1976@yahoo.in,9188285481.0
28049,HS,28049sphsveliyanad@gmail.com,4842747005.0
12365,HS,12365boonpublicschoolkallar@gmail.com,4672225985.0
38001,HS,gbhsadoor@gmail.com,4734226262.0
25046,HS,mcmhss@gmail.com,4842688620.0
23023,HS,stmaryshssirinjalakuda@yahoo.com,4802823107.0
38054,HS,hskodumon@gmail.com,4734285557.0
20048,HS,hsthottara@gmail.com,4662266460.0
17005,HS,ghssazchavattom@gmail.com,4952332620.0
32065,HS,kply32065ptm@yahoo.co.in,4828226012.0
17004,HS,gvhspayyanakkal@gmail.com,4952320049.0
25040,HS,akavoorhs@gmail.com,4842601322.0
34017,HS,34017alappuzha@gmail.com,4782564997.0
22020,HS,nssemhsstsr@rediffmail.com,4872381942.0
25092,HS,stjosephshspoovathussery@gmail.com,8281931424.0
31047,HS,boysettumanoor@yahoo.co.in,4812535491.0
34008,HS,34008alappuzha@gmail.com,4772258749.0
22031,HS,elthuruthhs@gmail.com,4872360433.0
37021,HS,stjosephshskulathur@gmail.com,9447662415.0
21113,HS,carmelhighschool@ymail.com,4924256411.0
32031,HS,akjmschool@gmail.com,4828202566.0
30001,HS,gvhssmunnar@gmail.com,4865231214.0
21116,HS,principalvidyodayaemhs@gmail.com,4923216288.0
30059,HS,sahsmundakayam@gmail.com,9446368546.0
17009,HS,nsshssmeenchanda@gmail.com,4952320187.0
27053,HS,ghsnellikuzhi@gmail.com,4852278531.0
