school_code,total_area_acre,solar_power,drinking_water,net_connectivity,total_class_room,multi_media_room,total_smart_class_room,little_kites,total_staff_room,computer_lab,science_lab,survey_number_s,total_no_of_computers_available_in_the_school,total_no_of_printers_available_in_the_school,first_aid_room,public_addressing_system,kitchen,cctv,store_book_stationary,tv_hall,canteen,rainwater_harvesting,land_obtained_for_establishing_school,play_ground,waste_management_system,autism_park,dining_hall,auditorium,indoor_stadium,students_police,music_class_room,activities,agricultural_activity,land_protected_by,toilet,she_toilet,no_of_toilets_for_boys,no_of_toilets_for_girls,no_of_urinals_for_boys,no_of_urinals_for_girls,parking_space,garden,transportation,hostel_facility,building_type,bio_gas,incinerator_facility,building_plinth_area,building_ownership,library,electrification
25802,86.5 cent,No,Pub Tap & well,Yes,14.0,No,1.0,No,0.0,Yes,No,641/6,4.0,1.0,No,Yes,Yes,No,No,No,No,No,Government Owned,No,No,No,No,No,No,No,No,,Yes,Fully,Yes,No,2.0,2.0,2.0,2.0,No,Yes,School Bus,No,Pucca & Semi Pucca,No,No,454.19sqrm,Owned,YesNo of books: 1500,Yes
16344,1,No,Well,Yes,14.0,No,6.0,No,1.0,Yes,Yes,50/6.  Re servey39/1,4.0,1.0,No,Yes,Yes,No,No,No,No,No,Owned by Manager,Yes  Football / Volleyball,No,No,No,No,No,No,No,JRC,Yes,Partially,Yes,No,2.0,2.0,2.0,2.0,No,Yes,School Bus,No,Semi Pucca,No,No,6400sq ft,Owned,YesNo of books: 800,Yes
24294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,
29029,2.5 acre,No,Well,Yes,23.0,No,9.0,Yes,2.0,Yes,Yes,116/'59,40.0,4.0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Donated by well wishers,Yes  Football / Volleyball,Yes,No,Yes,Yes,No,No,No,"JRC,NCC ,Scouts & Guides",Yes,Fully,Yes,Yes,7.0,16.0,14.0,0.0,Yes,Yes,School Bus,No,Pucaa,No,Yes,11283.00 m,Owned,YesNo of books: 5126,Yes
31520,0.6175,No,Others,Yes,4.0,No,1.0,No,0.0,Yes,No,"326/1,327/1,362/3",4.0,0.0,No,Yes,Yes,No,No,No,No,No,Owned by Manager,Yes  Football,No,No,No,Yes,No,No,No,,Yes,Partially,Yes,No,1.0,1.0,2.0,2.0,No,Yes,,No,Semi Pucca,No,No,7685 sq. m,Owned,YesNo of books: 400,Yes
17055,1.68,No,Borewll,Yes,19.0,Yes,9.0,Yes,1.0,Yes,Yes,20/1A,20.0,2.0,Yes,Yes,Yes,No,Yes,No,No,No,Owned by Manager,Yes  Football / Volleyball,Yes,No,No,No,No,No,No,"JRC,NCC ,Scouts & Guides",Yes,Fully,Yes,No,7.0,0.0,11.0,0.0,Yes,Yes,,No,Semi Pucca,Yes,No,1519sqM,Owned,YesNo of books: 250,Yes
38520,0.5,No,Well,Yes,4.0,No,0.0,No,1.0,No,No,45/1B,3.0,0.0,No,No,Yes,No,Yes,No,No,Yes,Owned by Manager,Yes  Football,No,No,No,No,No,No,No,,Yes,Fully,Yes,No,1.0,1.0,1.0,1.0,Yes,Yes,,No,Pucaa,No,No,285.105,Owned,No,Yes
30025,2 Acre 35 cent,No,Borewll,Yes,12.0,Yes,12.0,No,2.0,Yes,Yes,410,14.0,3.0,No,Yes,Yes,No,Yes,No,No,No,Pvt. Management Handover to Govt.,No,No,No,No,Yes,No,No,No,JRC,Yes,Nil,Yes,Yes,3.0,9.0,10.0,3.0,Yes,Yes,,No,Pucaa,No,Yes,7200 Sq.fe,Owned,YesNo of books: 5000,Yes
37602,20 cent,No,Borewll,No,4.0,No,4.0,No,1.0,Yes,No,266/4,1.0,1.0,No,No,Yes,No,No,No,No,No,Government Owned,No,No,No,No,Yes,No,No,No,,No,Partially,Yes,No,1.0,1.0,1.0,1.0,No,Yes,,No,Pucaa,No,No,213.50 m.s,Owned,No,Yes
29070,1.5,No,Borewll,Yes,12.0,Yes,4.0,No,1.0,Yes,Yes,1/1,16.0,2.0,No,Yes,Yes,Yes,No,Yes,No,Yes,Government Owned,No,No,No,Yes,Yes,No,No,No,JRC,Yes,Partially,Yes,Yes,3.0,8.0,11.0,0.0,No,No,School Bus,No,Semi Pucca,No,Yes,1266,Owned,YesNo of books: 900,Yes
20328,1.42acres,No,Well,No,4.0,No,1.0,No,0.0,No,No,52/4,5.0,1.0,No,No,Yes,No,No,No,No,No,Owned by Manager,Yes  Football,Yes,No,No,No,No,No,No,,No,Nil,Yes,No,1.0,1.0,1.0,1.0,No,No,,No,Semi Pucca,No,No,119.42M2,Owned,YesNo of books: 768,Yes
24252,53Cent,No,Borewll,Yes,13.0,No,2.0,No,1.0,Yes,Yes,328/14B,6.0,1.0,No,No,Yes,No,No,No,No,Yes,Government Owned,No,Yes,No,Yes,Yes,No,No,No,,Yes,Fully,Yes,Yes,2.0,2.0,2.0,2.0,No,Yes,,No,Pucaa,No,Yes,468sqm,Owned,YesNo of books: 2326,Yes
25463,2.5 acre,No,Well,Yes,14.0,Yes,4.0,No,1.0,Yes,Yes,"404/17,20,405,16,28,33,42",12.0,1.0,No,Yes,Yes,No,No,No,No,No,Owned by Manager,Yes  Football,No,No,No,No,No,No,No,,Yes,Fully,Yes,No,4.0,6.0,16.0,9.0,Yes,Yes,School Bus,No,Pucaa,No,No,7000sq ft,Owned,YesNo of books: 1102,Yes
