school_code,position_title,sanctioned_posts
11001,Drawing Teacher Gr II,1
11001,Headmaster/Headmistress HG (High School),1
11001,High School Assistant (HG),2
11001,High School Assistant Hindi(Sel. Gr),1
11001,High School Assistant Mathematics (HG),1
11001,High School Assistant Mathematics (Sel Gr),1
11001,High School Assistant Physical Science(HG),1
11001,High School Assistant Physical Science(Sel. Gr),1
11001,High School Assistant Sanskrit,1
11001,Office Attendant (15 Yrs HG),1
11001,Teacher (U P School) Gr II,1
11001,Teacher (U P School) Snr Gr,1
11001,UP School Assistant (Snr Gr),1
11002,Headmaster/Headmistress(20740-36140),1
11002,High School Assistant,1
11002,High School Assistant  (Sel. Gr),1
11002,High School Assistant (HG),4
11002,High School Assistant Hindi,2
11002,High School Assistant Mathematics,2
11002,High School Assistant Physical Science,1
11002,High School Assistant Physical Science (HG),1
11002,High School Assistant Social Science,1
11002,Physical Education Teacher,1
11002,Teacher (U P School) Gr II,4
11003,Clerk,1
11003,Headmaster/Headmistress (High School),1
11003,High School Assistant Arabic,2
11003,High School Assistant English (Snr Gr),1
11003,High School Assistant Malayalam,2
11003,High School Assistant Natural Science,1
11003,High School Assistant Social Science,1
11003,Office Attendant,1
11003,P D Teacher (HG),2
11003,Physical Education Teacher,1
11005,High School Assistant,2
11005,High School Assistant Mathematics,1
11005,High School Assistant Mathematics (Snr Gr),1
11005,High School Assistant Physical Science (HG),1
11005,High School Assistant Physical Science(Snr. Gr),2
11005,High School Assistant Sanskrit(HG),1
11005,High School Assistant Social Science (Snr Grade),1
11005,Office Attendant Gr II,2
11005,Teacher (U P School) Gr II,1
11006,Clerk,1
11006,Headmaster/Headmistress (High School),1
11006,High School Assistant English (Snr Gr),1
11006,High School Assistant Hindi,1
11006,High School Assistant Mathematics (HG),2
11006,High School Assistant Natural Science (HG),1
11006,High School Assistant Physical Science(HG),2
11006,High School Assistant Physical Science(Snr. Gr),1
11007,High School Assistant,1
11007,High School Assistant (HG),1
11007,High School Assistant (Snr Gr),2
11007,High School Assistant English (Snr Gr),1
11007,High School Assistant English(Sel Gr),1
11007,High School Assistant Hindi(Sel. Gr),1
11007,High School Assistant Mathematics (HG),1
11007,High School Assistant Physical Science(HG),1
11007,Lower Grade Hindi,1
11007,Office Attendant Gr I (27  Yrs HG),1
11007,Teacher (U P School) Sel Gr,1
11007,UP School Assistant,7
11007,UP School Assistant Grade I,1
11009,Headmaster/Headmistress (High School),1
11009,Headmaster/Headmistress(20740-36140),1
11009,High School Assistant,4
11009,High School Assistant (HG),1
11009,High School Assistant English,1
11009,High School Assistant Physical Science(HG),1
11009,High School Assistant Social Science,1
11009,Office Attendant,1
11009,Office Attendant Gr I,1
11009,Office Attendant Gr II,1
11009,Teacher (U P School) Gr I,1
11010,Drawing Teacher Gr I,1
11010,FTM  1st HG,1
11010,Headmaster/Headmistress (High School),1
11010,High School Assistant (HG),2
11010,High School Assistant English(HG),1
11010,High School Assistant Mathematics (HG),1
11010,High School Assistant Social Science (Snr Grade),1
11010,LD Clerk (8 Yrs Qualified),1
11011,High School Assistant,2
11011,High School Assistant English(HG),2
11011,High School Assistant Mathematics(Sel. Gr),1
11011,High School Assistant Natural Science,1
11011,High School Assistant Physical Science(Sel. Gr),1
11011,High School Assistant Physical Science(Snr. Gr),1
11011,High School Assistant Social Science,1
11011,High School Assistant Social Science (Snr Grade),1
11011,Office Attendant Gr I,1
11011,Physical Education Teacher,1
11011,Teacher (U P School) Sel Gr,1
11012,FTM,1
11012,Headmaster/Headmistress (High School),1
11012,High School Assistant,1
11012,High School Assistant English,1
11012,Office Attendant,1
11013,Drawing Teacher Gr II (8 Yrs HG),1
11013,Headmaster/Headmistress (High School),1
11013,High School Assistant,2
11013,High School Assistant (HG),3
11013,High School Assistant Hindi,1
11013,High School Assistant Natural Science,1
11013,High School Assistant Social Science,1
11013,Office Attendant Gr II,1
11013,Physical Education Teacher,1
11013,UP School Assistant,3
11014,FTM,1
11014,High School Assistant,2
11014,High School Assistant Hindi,1
11014,High School Assistant Malayalam,1
11014,High School Assistant Natural Science,1
11014,High School Assistant Social Science,1
11014,Office Attendant,1
11014,Teacher (LP/UP) - Arabic (Grade II),1
11014,Teacher (U P School) Gr I,1
11014,UP School Assistant,3
11015,FTM,1
11015,Headmaster/Headmistress (High School),1
11015,High School Assistant Hindi,1
11015,High School Assistant Malayalam(HG),1
11015,High School Assistant Natural Science,1
11015,High School Assistant Social Science,1
11015,LD Clerk (15 Yrs HG) (26500 - 56700),1
11015,P D Teacher (Selection Grade),1
11015,Teacher (L P School) Gr I,1
11015,Teacher (L P School) Gr II,4
11015,Teacher (U P School) Gr II,5
11015,UP School Assistant,1
11016,Clerk,1
11016,High School Assistant (HG),2
11016,High School Assistant Malayalam,1
11016,High School Assistant Mathematics,2
11016,High School Assistant Social Science,2
11016,L P School Assistant (HG),1
11016,Office Attendant HG,1
11016,Teacher (L P School) Gr II,3
11017,FTM,1
11017,Headmaster/Headmistress (High School),1
11017,High School Assistant,1
11017,High School Assistant Social Science (Snr Grade),1
11017,UP School Assistant,2
11018,FTM 2nd HG,1
11018,High School Assistant,1
11018,High School Assistant Arabic,1
11018,High School Assistant English,2
11018,High School Assistant Mathematics,2
11018,High School Assistant Physical Science,2
11018,L P School Assistant (HG),1
11018,Lecturer DIET (27800 - 59400),1
11018,Office Attendant Gr II,1
11018,P D Teacher (HG),1
11018,Teacher (L P School) Gr I,1
11018,Teacher (LP/UP) - Arabic (Grade II),1
11019,Full time Arabic Teacher,1
11019,Headmaster/Headmistress(20740-36140),1
11019,High School Assistant,1
11019,High School Assistant English,2
11019,High School Assistant Hindi,1
11019,High School Assistant Mathematics,2
11019,High School Assistant Natural Science,1
11019,High School Assistant Social Science,2
11019,Teacher (U P School) Gr II,1
11019,UP School Assistant,4
11020,Drawing Teacher Snr Gr,1
11020,High School Assistant,7
11020,High School Assistant (HG),1
11020,High School Assistant English,6
11020,High School Assistant Hindi(Snr. Gr),1
11020,High School Assistant Malayalam,5
11020,High School Assistant Mathematics,6
11020,High School Assistant Natural Science,5
11020,High School Assistant Physical Science (HG),2
11020,Office Attendant,1
11020,Office Attendant Gr II,1
11020,Physical Education Teacher,1
11020,Sewing Teacher,1
11021,Clerk,1
11021,FTM,4
11021,Headmaster/Headmistress HG (High School),1
11021,High School Assistant Arabic,2
11021,High School Assistant Arabic (Snr Gr),2
11021,High School Assistant English,5
11021,High School Assistant English (Snr Gr),2
11021,High School Assistant English(Sel Gr),2
11021,High School Assistant Hindi,4
11021,High School Assistant Malayalam,2
11021,High School Assistant Mathematics,4
11021,High School Assistant Mathematics (HG),1
11021,High School Assistant Mathematics (Snr Gr),2
11021,High School Assistant Natural Science (HG),1
11021,High School Assistant Physical Science,6
11021,High School Assistant Physical Science (HG),1
11021,High School Assistant Physical Science(Snr. Gr),1
11021,High School Assistant Social Science (HG),3
11021,High School Assistant Social Science (Snr Grade),1
11021,Junior Arabic Teacher (Sel Gr),1
11021,L P School Assistant (HG),1
11021,L P School Assistant (Sel.Gr),4
11021,Physical Education Teacher,1
11021,Teacher (L P School) Gr II,1
11021,Teacher (LP/UP) - Arabic (Selection Grade),3
11021,Teacher (LP/UP) - Hindi (Sel Gr),2
11021,Teacher (U P School) Gr I,6
11021,Teacher (U P School) Sel Gr,3
11021,UP School Assistant (Snr Gr),2
11022,Clerk,2
11022,FTM,1
11022,High School Assistant English,1
11022,High School Assistant Hindi,1
11022,High School Assistant Mathematics (Snr Gr),1
11022,High School Assistant Physical Science,1
11022,Junior Hindi Teacher (Sr Gr),1
11022,L P School Assistant(Before 11/04/2013),1
11022,Primary Teacher (Arabic) (Part Time with Full Time Benefit),1
11022,Teacher (L P School) Gr II,2
11022,UP School Assistant,3
11024,Clerk,4
11024,FTM,1
11024,Full time Arabic Teacher,2
11024,High School Assistant,3
11024,High School Assistant Arabic,4
11024,High School Assistant English,4
11024,High School Assistant Hindi,2
11024,High School Assistant Hindi(Snr. Gr),1
11024,High School Assistant Mathematics,6
11024,High School Assistant Physical Science,1
11024,High School Assistant malayalam(HG 18740-33680),1
11024,Junior Hindi Teacher Gr I,1
11024,L P School Assistant,11
11024,L P School Assistant (HG),1
11024,L P School Assistant HG,1
11024,Music Teacher,1
11024,Physical Education Teacher,2
11024,Teacher (LP/UP) - Hindi (Grade II),1
11025,Clerk,1
11025,High School Assistant,2
11025,High School Assistant English(HG),1
11025,High School Assistant Mathematics,1
11025,High School Assistant Natural Science,1
11025,High School Assistant Physical Science (HG),2
11025,High School Assistant Social Science,1
11025,High School Assistant Social Science (HG),1
11025,Office Attendant Gr II (15 Yrs HG),1
11025,Teacher (LP/UP) - Hindi (Grade II),1
11025,UP School Assistant,3
11026,Drawing Teacher Gr I,1
11026,High School Assistant,1
11026,High School Assistant (HG),5
11026,High School Assistant (Snr Gr),1
11026,High School Assistant Arabic,1
11026,High School Assistant English(HG),1
11026,High School Assistant Natural Science (Snr Gr),1
11026,High School Assistant Physical Science,1
11026,High School Assistant Physical Science(Snr. Gr),1
11026,Office Attendant,1
11026,Physical Education Teacher,1
11027,Full time Hindi  Teacher,1
11027,High School Assistant Hindi,2
11027,High School Assistant Malayalam,3
11027,High School Assistant Social Science,2
11027,High School Assistant Social Science (HG),1
11027,L P School Assistant (HG),1
11027,Office Attendant,1
11027,P D Teacher (Senior Grade),4
11027,Physical Education Teacher,1
11027,Senior Clerk,1
11027,Teacher (LP/UP) - Arabic (Grade I),1
11028,Full time Arabic Teacher,1
11028,High School Assistant,3
11028,High School Assistant Arabic,2
11028,High School Assistant English,2
11028,High School Assistant Malayalam,2
11028,High School Assistant Natural Science,2
11028,High School Assistant Social Science (HG),1
11028,Junior Arabic Teacher Gr II,2
11028,L P School Assistant,10
11028,LPSA(13210),3
11028,Office Attendant Gr II,2
11028,Part Time Menial(4850-7500),1
11028,Teacher (LP/UP) - Arabic (Grade I),1
11028,UP School Assistant Gr I,1
11029,Clerk,3
11029,FTM,1
11029,FTM  1st HG,1
11029,Headmaster/Headmistress (High School),1
11029,High School Assistant,1
11029,High School Assistant Arabic (HG),1
11029,High School Assistant English,2
11029,High School Assistant Natural Science (HG),1
11029,High School Assistant Physical Science,2
11029,High School Assistant Social Science,4
11029,Office Attendant,1
11029,Teacher (LP/UP) - Arabic (Grade II),3
11029,Teacher (LP/UP) - Hindi (Grade II),2
11029,Teacher (U P School) Gr I,1
11029,Teacher (U P School) Gr II,15
11030,FTM,2
11030,High School Assistant,3
11030,High School Assistant English(HG),1
