school_code,udise_code,hss_code,vhse_code,name,type,level,established_year,address,pin_code,district,sub_district,education_district,assembly_constituency,parliament_constituency,latitude,longitude,is_coastal_area,is_hilly_area,principal_name,head_master_name,description,source_url,hse_start_year
25802,32081000114.0,,,G. L. P. S.Chendamangalam,Government,1 - 4,1961.0,Chendamangalam,683512,Ernakulam,North Paravur,Aluva,Paravur,Ernakulam,10.170493,76.23425299999998,True,True,,RADHIKA NAIR,"G. L. P. S.Chendamangalam is a Government educational institution established in 1961. Situated in the district of Ernakulam, it offers classes for levels 1 - 4. The campus spans across 86.5 cent and features 14 classrooms. Students have access to excellent facilities including a Computer Lab.",https://sametham.kite.kerala.gov.in/25802,
16344,32040900407.0,,,ARIKKULAM UPS,Aided,1 - 7,1905.0,ARIKKULAM,673620,Kozhikode,Koyilandy,Vatakara,Perambra,Vadakara,11.488697,75.715187,True,True,,SABITHA V,"ARIKKULAM UPS is a Aided educational institution established in 1905. Situated in the district of Kozhikode, it offers classes for levels 1 - 7. The campus spans across 1 and features 14 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab and a Playground.",https://sametham.kite.kerala.gov.in/16344,
24294,32070304309.0,,,Insight SpecialSchool andVocational TrainingCentre,Unaided Recognised,1-8,2022.0,GURUVAYOOR,680505,Thrissur,Chavakkad,Chavakkad,Guruvayoor,Thrissur,,,True,True,,FARITHA HAMZA,"Insight SpecialSchool andVocational TrainingCentre is a Unaided Recognised educational institution established in 2022. Situated in the district of Thrissur, it offers classes for levels 1-8.",https://sametham.kite.kerala.gov.in/24294,
29029,32090700205.0,6078.0,,St. George`s H SKallanickal,Aided,8 - 12,1966.0,Kallanickal,685585,Idukki,Thodupuzha,Thodupuzha,Thodupuzha,Idukki,,,False,False,Febin D Savio Francis,SHINY THOMAS,"St. George`s H SKallanickal is a Aided educational institution established in 1966. Situated in the district of Idukki, it offers classes for levels 8 - 12. The campus spans across 2.5 acre and features 23 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab, a Playground and an Auditorium.",https://sametham.kite.kerala.gov.in/29029,2014.0
31520,32101000505.0,,,St.Michaels L.P.SKuruvinal,Aided,1 - 4,1917.0,kuruvinal,686573,Kottayam,Pala,Pala,Pala,Kottayam,9.704630000000002,76.648798,True,True,,LIGY LORANCE,"St.Michaels L.P.SKuruvinal is a Aided educational institution established in 1917. Situated in the district of Kottayam, it offers classes for levels 1 - 4. The campus spans across 0.6175 and features 4 classrooms. Students have access to excellent facilities including a Computer Lab, a Playground and an Auditorium.",https://sametham.kite.kerala.gov.in/31520,
17055,32040501303.0,,,C. M. C. Boys. H. S.Elathur,Aided,5 - 10,1932.0,Elathur,673303,Kozhikode,Chevayur,Kozhikode,Elathur,Kozhikode,11.345304,75.73968399999998,True,True,,JAYANTHI K,"C. M. C. Boys. H. S.Elathur is a Aided educational institution established in 1932. Situated in the district of Kozhikode, it offers classes for levels 5 - 10. The campus spans across 1.68 and features 19 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab, a Playground and a Multi Media Room.",https://sametham.kite.kerala.gov.in/17055,
38520,32120800518.0,,,N.M.L.P.SMannamaruthy,Aided,1 - 4,1917.0,CHETHACKAL,689677,Pathanamthitta,Ranni,Pathanamthitta,Ranni,Pathanamthitta *,9.420524,76.800844,True,True,,BINU C VARUGHESE,"N.M.L.P.SMannamaruthy is a Aided educational institution established in 1917. Situated in the district of Pathanamthitta, it offers classes for levels 1 - 4. The campus spans across 0.5 and features 4 classrooms. Students have access to excellent facilities including a Playground.",https://sametham.kite.kerala.gov.in/38520,
30025,32090600706.0,6007.0,,CPM GHSS Peermedu,Government,5 - 12,1936.0,Peermade,685531,Idukki,Peermedu,Kattappana,Peerumade,Idukki,9.570625,77.000011,False,True,Madhu K,SURESH K,"CPM GHSS Peermedu is a Government educational institution established in 1936. Situated in the district of Idukki, it offers classes for levels 5 - 12. The campus spans across 2 Acre 35 cent and features 12 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab, a Multi Media Room and an Auditorium.",https://sametham.kite.kerala.gov.in/30025,1997.0
37602,32120601503.0,,,Govt: S. V. L. P. S.Kanjeettukara,Government,1 - 4,1927.0,KANJEETTUKARA,689612,Pathanamthitta,Vennikulam,Tiruvalla,Ranni,Pathanamthitta *,9.373247,76.72922,True,True,,SASIKALA T S,"Govt: S. V. L. P. S.Kanjeettukara is a Government educational institution established in 1927. Situated in the district of Pathanamthitta, it offers classes for levels 1 - 4. The campus spans across 20 cent and features 4 classrooms. Students have access to excellent facilities including a Computer Lab and an Auditorium.",https://sametham.kite.kerala.gov.in/37602,
29070,32090100302.0,,,GHS MUNIYARA,Government,1 -10,2011.0,MUNIYARA,685571,Idukki,Adimaly,Thodupuzha,Idukki,Idukki,,,True,True,,JAMES P M,"GHS MUNIYARA is a Government educational institution established in 2011. Situated in the district of Idukki, it offers classes for levels 1 -10. The campus spans across 1.5 and features 12 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab, a Multi Media Room and an Auditorium.",https://sametham.kite.kerala.gov.in/29070,
